Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
165.0,0.1061425,-1.061763,1.167906,-1.682395,-0.2514319,-1.430963,0.5897654,-1.114834,-0.0180854,0.07526235,0.01954577,0.05571657
166.0,0.1061459,-1.061865,1.168011,-1.682564,-0.2514364,-1.431128,0.5898456,-1.114938,-0.01808276,0.07526996,0.01955222,0.05571774
167.0,0.1061493,-1.061965,1.168114,-1.682732,-0.2514408,-1.431291,0.589925,-1.11504,-0.0180803,0.07527735,0.01955838,0.05571897
168.0,0.1061526,-1.062063,1.168216,-1.682895,-0.2514451,-1.43145,0.5900025,-1.115139,-0.01807793,0.07528452,0.01956433,0.05572019
169.0,0.1061557,-1.062158,1.168314,-1.683053,-0.2514492,-1.431604,0.5900774,-1.115236,-0.01807562,0.07529148,0.01957012,0.05572136
170.0,0.1061586,-1.062251,1.16841,-1.683206,-0.2514532,-1.431753,0.5901497,-1.11533,-0.01807334,0.07529826,0.01957579,0.05572247
171.0,0.1061616,-1.062341,1.168503,-1.683353,-0.251457,-1.431897,0.5902198,-1.115422,-0.01807126,0.07530486,0.01958117,0.05572369
172.0,0.1061643,-1.062429,1.168594,-1.683497,-0.2514606,-1.432037,0.590288,-1.115511,-0.01806906,0.0753113,0.01958659,0.05572471
173.0,0.1061668,-1.062516,1.168683,-1.683638,-0.2514641,-1.432174,0.590355,-1.115599,-0.01806692,0.0753176,0.01959188,0.05572572
174.0,0.1061694,-1.062601,1.16877,-1.683776,-0.2514674,-1.432309,0.5904208,-1.115685,-0.01806486,0.07532375,0.01959702,0.05572673
